,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
seu-miR11048,0.177,-9.717,-0.002,0.058,0.006,0.222,0.094,-0.152,-0.067,-0.102,-0.427,0.155,-0.849,-0.002,0.18,0.119,0.906,0.008,0.068,0.001,0.102,0.53,-0.158,-12.155,-0.005,-0.105,-0.001,-0.053,-0.14,-0.183,-0.247,0.14,-0.553,-0.003,-1.904,0.024,-0.053,-0.112,-6.179,-0.003,-0.105,-0.002,-0.061,-1.234,-0.133,-1.228,0.002,-0.053,-0.005,-0.124,-0.207,-1.355,0.11,-5.789,-2.869,-0.062,-0.371,0.03,-0.115,-0.054,-6.405,-0.009,-0.043,0.014,-0.006,-1.112
gma-miR9762,0.285,-4.784,0.0,0.042,0.013,0.377,0.271,-0.765,0.112,0.175,-0.539,0.327,-0.106,0.0,0.224,0.175,7.162,0.016,0.117,0.003,0.136,1.494,0.12,-12.304,-0.003,-0.105,0.008,0.02,0.064,-1.704,-0.126,-1.772,2.23,0.178,-2.737,-0.016,-0.152,-0.353,-18.197,0.009,-0.267,-0.034,-0.202,-3.78,-0.006,-3.096,0.0,-0.034,0.002,-0.201,0.009,-4.123,-0.191,1.149,2.374,0.071,-1.162,-0.025,-0.279,-0.304,-17.978,0.003,-0.184,-0.039,-0.167,-3.588
pab-miR3627h,0.09,-14.39,-0.005,0.14,0.001,0.06,0.1,-1.251,0.087,-2.51,-0.094,0.14,-1.644,-0.002,0.11,0.088,-1.865,0.002,0.052,-0.004,0.21,-0.01,-0.011,-0.41,0.005,0.042,-0.006,-0.074,0.0,0.748,0.044,3.926,-0.157,-0.116,0.247,-0.012,0.042,0.099,4.556,-0.008,0.112,0.012,0.137,0.933,-0.011,20.653,-0.004,-0.044,-0.004,0.044,0.0,1.66,-0.034,0.2,0.189,-0.122,2.977,-0.007,0.144,0.122,4.636,-0.006,0.134,0.007,0.111,1.028
mtr-miR5223,0.19,-7.61,0.003,0.027,0.007,0.328,0.097,-1.292,-0.076,-0.263,-0.142,0.21,-0.665,-0.001,0.148,0.123,1.646,0.01,0.074,0.001,0.11,0.647,-0.116,-14.199,-0.001,-0.024,-0.005,0.037,-0.155,-0.761,-0.074,0.618,0.078,-0.163,-2.34,0.022,0.026,-0.132,-4.393,-0.005,-0.129,-0.004,-0.058,-1.079,-0.178,29.066,0.001,-0.025,-0.005,-0.119,-0.161,-0.065,0.035,-2.472,-1.531,-0.189,4.422,0.027,0.114,0.214,8.831,-0.008,0.222,0.022,0.2,2.115
tae-miR1139,-0.002,-6.8,-0.003,0.11,0.0,0.05,-0.003,-2.732,0.042,-0.325,-0.156,0.04,-0.7,0.001,0.125,0.024,-0.338,0.0,0.002,0.001,0.027,0.076,-0.111,-6.989,-0.006,-0.042,-0.001,-0.026,-0.079,0.899,-0.168,-0.584,0.229,-0.116,-1.558,0.001,0.042,-0.177,-11.107,-0.003,-0.163,0.001,-0.147,-2.133,-0.008,3.035,0.0,-0.044,0.001,0.056,-0.083,2.486,-0.074,-0.311,1.189,-0.067,0.348,0.011,0.006,0.051,2.812,0.004,0.028,0.015,-0.008,0.587
fve-miR3627b,0.04,-14.412,-0.002,0.175,0.001,0.21,0.025,-1.605,-0.027,-1.203,-0.154,0.05,-1.621,0.001,0.16,0.036,-2.624,0.003,0.005,-0.002,0.07,-0.243,-0.063,-2.16,0.0,0.05,0.001,0.184,-0.145,2.215,-0.017,-0.853,-0.201,-0.053,-0.939,0.004,-0.005,-0.135,-2.44,0.003,-0.152,0.006,-0.121,-0.772,-0.011,-4.242,0.0,0.078,0.005,0.267,0.0,1.38,0.029,-0.997,-1.062,-0.056,-0.166,0.007,0.144,0.112,15.357,0.008,0.075,0.019,0.056,2.473
bra-miR5723,0.247,-5.399,0.002,0.064,0.007,0.125,0.047,-1.709,-0.171,-0.842,-0.109,0.036,-0.429,0.001,0.108,0.188,-0.424,0.012,0.105,0.002,0.188,0.602,0.064,-1.112,0.0,0.012,0.003,0.067,-0.012,0.102,0.107,0.781,-0.252,-0.032,-0.282,0.025,0.003,0.0,-0.284,0.005,-0.003,0.003,0.032,-0.162,0.009,10.703,-0.003,0.012,-0.003,0.062,-0.077,-0.458,-0.098,5.619,1.148,-0.05,1.728,0.009,0.025,0.043,8.382,-0.006,0.108,-0.007,0.022,1.18
tae-miR9662a-3p,0.127,-14.335,-0.003,0.283,0.006,0.263,0.055,-0.523,-0.051,-0.377,-0.404,0.116,-1.563,-0.001,0.094,0.101,-1.169,0.01,0.058,0.004,0.136,0.108,-0.088,-2.216,0.001,-0.091,-0.005,-0.003,0.026,-1.37,-0.14,-0.553,1.623,-0.029,-1.129,-0.015,0.006,-0.21,-6.917,-0.009,-0.18,-0.03,-0.129,-1.669,-0.115,-0.539,0.003,-0.155,-0.006,-0.127,-0.124,2.191,0.064,-1.18,2.039,-0.031,-0.032,-0.016,-0.034,0.038,0.259,-0.01,0.01,-0.003,0.046,0.152
lja-miR7537,0.325,-3.284,0.002,0.203,0.01,0.345,0.095,-1.792,-0.161,-1.852,-0.079,0.12,0.17,0.0,0.19,0.276,2.398,0.016,0.196,0.002,0.342,1.276,0.211,-15.077,0.003,0.003,0.004,0.216,-0.058,-0.491,-0.064,-1.608,-0.795,-0.137,-2.449,-0.022,-0.084,-0.11,-11.392,0.008,-0.108,-0.026,-0.058,-1.905,0.222,5.873,-0.007,0.058,-0.002,0.183,-0.011,0.143,-0.01,0.603,0.445,-0.2,0.951,-0.007,-0.078,0.1,6.544,0.001,0.064,-0.006,-0.056,1.366
lja-miR11092-3p,0.252,-3.866,-0.001,0.139,0.006,0.141,0.38,-1.587,0.126,-0.443,-0.242,0.274,-0.241,-0.002,0.144,0.128,3.609,0.006,0.07,0.007,0.147,0.917,-0.012,-11.402,0.004,0.035,-0.003,-0.231,0.038,-2.075,-0.196,-1.67,2.233,0.035,-2.094,-0.018,-0.155,-0.196,-14.536,-0.004,-0.146,-0.031,-0.073,-2.735,-0.189,7.049,0.005,0.037,-0.007,-0.303,-0.285,-5.641,0.056,5.777,0.826,-0.09,0.592,-0.032,-0.164,-0.133,-5.217,-0.013,-0.065,-0.065,-0.077,-1.35
gra-miR7492m,0.062,-5.948,0.001,0.105,0.008,0.223,0.126,-0.89,0.056,-0.682,0.134,0.273,-0.302,-0.001,0.066,0.129,3.687,0.009,0.098,0.0,0.12,0.993,0.004,4.443,0.001,-0.08,0.004,-0.002,-0.026,-0.637,0.072,2.0,0.601,0.026,0.397,-0.008,-0.074,-0.094,-1.237,0.005,-0.06,-0.005,-0.065,-0.513,0.091,-0.049,0.0,-0.134,0.003,-0.05,-0.093,0.067,0.077,3.575,0.48,-0.145,0.036,0.013,-0.027,-0.038,-1.289,0.005,0.021,-0.004,-0.018,-0.389
pgi-miR6142,0.06,3.273,0.009,0.05,0.009,0.227,0.186,-0.755,0.225,-0.541,0.059,0.517,1.907,0.0,0.178,0.448,17.463,0.005,0.358,0.015,0.345,3.887,-0.013,-14.028,0.005,-0.03,0.004,-0.048,0.147,-1.789,0.066,-1.584,-0.024,0.303,-1.398,-0.019,-0.052,0.121,-1.325,0.001,0.067,-0.01,0.069,0.3,0.136,-2.191,0.001,-0.018,0.005,-0.05,0.216,-0.412,0.095,6.377,-0.944,0.068,-1.402,-0.027,-0.125,-0.209,-7.579,0.007,-0.212,-0.043,-0.191,-1.809
nta-miR6159,0.14,-4.72,0.002,0.19,0.01,0.29,0.01,-1.08,-0.22,-1.703,0.155,0.15,-0.148,0.001,0.06,0.152,-4.176,0.015,0.103,0.001,0.19,-0.024,0.021,1.892,0.001,0.042,0.001,0.137,0.011,0.836,0.082,3.655,0.352,-0.053,-0.151,-0.008,-0.079,-0.106,1.849,0.001,-0.111,0.0,-0.121,-0.205,0.078,-8.045,0.003,0.022,-0.004,0.028,-0.006,-1.689,-0.115,1.261,2.738,-0.111,-1.61,-0.022,-0.067,-0.134,-12.635,-0.007,-0.102,-0.03,-0.028,-2.316
bdi-miR7736-3p,0.194,-7.655,0.001,0.061,0.004,0.155,0.141,-1.916,0.204,0.042,0.249,0.064,-0.682,-0.003,0.172,0.133,6.697,0.007,0.089,-0.001,0.127,1.383,-0.088,0.788,0.001,-0.047,0.001,-0.035,-0.026,0.216,0.119,2.778,-0.125,0.012,-0.449,-0.015,-0.126,-0.188,-5.43,0.001,-0.145,-0.007,-0.161,-1.397,-0.285,6.073,-0.002,-0.037,0.0,-0.025,-0.087,0.592,0.175,4.012,0.945,0.071,0.633,0.003,-0.074,-0.162,7.869,0.001,-0.102,0.014,-0.189,0.442
aly-miR771-3p,0.111,-7.602,-0.002,0.191,0.01,0.352,0.167,-0.1,-0.004,-0.481,0.089,0.093,-0.64,-0.001,0.222,0.118,-1.77,0.014,0.091,0.001,0.111,0.153,0.0,12.536,-0.001,0.085,0.002,0.0,-0.059,0.275,-0.059,-2.327,-1.691,-0.078,2.43,0.006,0.0,0.241,9.053,0.005,0.218,0.014,0.124,2.224,-0.062,25.266,0.003,0.062,-0.003,-0.198,0.063,0.317,-0.024,-0.83,-2.356,0.042,4.797,0.04,-0.031,0.448,15.861,-0.001,0.397,0.033,0.264,3.829
aly-miR822-3p,0.205,-8.048,0.001,0.042,0.004,0.158,0.222,-3.378,-0.014,-0.277,-0.026,0.139,-1.131,0.0,0.036,0.003,-0.901,0.007,-0.014,0.002,0.042,-0.062,0.099,-15.605,-0.01,-0.178,-0.001,0.123,-0.044,0.796,-0.149,-0.81,-0.009,-0.132,-3.141,-0.03,-0.018,-0.328,-17.2,0.0,-0.282,-0.028,-0.289,-3.378,0.099,16.519,0.0,0.046,-0.002,0.142,-0.046,-0.491,-0.08,-4.229,-0.425,-0.08,2.536,-0.031,-0.019,0.084,-9.059,-0.002,0.088,-0.014,-0.012,-0.681
aof-miR12151,0.23,4.73,-0.003,0.116,0.006,0.305,0.299,1.795,-0.244,-0.119,0.554,0.222,1.688,0.0,0.407,0.335,6.279,0.008,0.276,0.012,0.302,1.927,-0.164,-4.43,0.0,-0.044,-0.005,-0.082,0.038,1.993,0.077,-0.921,0.383,-0.099,-0.731,0.001,0.152,-0.106,-7.537,-0.008,-0.079,0.002,-0.07,-1.422,-0.183,8.95,0.0,-0.037,-0.006,-0.3,-0.019,1.106,-0.042,-0.084,-0.367,-0.164,1.258,0.015,-0.074,-0.034,3.956,-0.007,-0.014,0.02,-0.093,0.586
pab-miR2950a,0.108,-4.921,0.0,0.089,0.009,0.235,0.144,-1.45,-0.092,-0.355,0.026,0.183,-0.589,0.0,0.102,-0.014,-3.298,0.012,-0.031,0.0,0.0,-0.494,-0.053,-19.476,0.004,-0.088,0.003,-0.029,-0.026,0.924,0.039,-0.716,-0.29,-0.047,-3.237,-0.026,-0.003,-0.254,-14.496,0.003,-0.217,-0.021,-0.17,-2.719,-0.056,-12.763,0.0,-0.006,0.001,-0.09,-0.146,-2.559,-0.049,-0.062,-0.223,-0.05,-1.755,0.002,-0.062,-0.038,-3.58,0.002,-0.044,-0.013,-0.009,-0.64
ath-miR8170-3p,0.302,-7.849,0.002,0.061,0.012,0.388,0.199,-1.009,0.135,-0.407,-0.049,0.263,-0.674,0.001,0.075,0.147,8.246,0.016,0.097,0.001,0.119,1.637,0.096,-5.24,-0.001,-0.047,0.002,0.12,0.05,-0.102,-0.1,0.442,-0.272,-0.056,-1.541,0.023,-0.073,-0.28,-17.207,0.004,-0.223,-0.009,-0.181,-3.318,-0.015,6.929,-0.001,-0.037,0.001,-0.062,-0.118,-1.557,-0.304,-1.734,-0.635,-0.118,0.466,0.022,-0.062,-0.17,-20.374,0.002,-0.116,-0.01,-0.136,-3.268
mes-miR2118,0.045,8.868,-0.001,0.29,0.002,0.048,0.375,-0.428,-0.055,-0.34,0.246,0.327,2.243,-0.001,0.035,0.316,4.611,0.003,0.258,0.008,0.25,1.652,-0.111,2.078,0.0,-0.168,-0.006,-0.055,0.053,-0.318,-0.197,3.158,-0.743,0.045,-0.246,-0.012,-0.016,-0.19,-3.364,-0.011,-0.166,-0.008,-0.158,-0.98,-0.061,-1.273,0.003,-0.294,-0.005,-0.003,-0.181,-1.149,0.038,2.867,-1.109,-0.083,-0.77,-0.038,-0.017,-0.226,-4.605,-0.009,-0.16,-0.025,-0.164,-1.221
bdi-miR7715-5p,0.285,-8.004,-0.002,0.061,0.012,0.418,0.31,1.386,0.069,-0.014,0.379,0.274,-0.586,-0.002,0.249,0.174,4.312,0.016,0.102,0.007,0.141,1.121,-0.05,-2.544,0.0,-0.035,0.005,0.009,0.161,0.292,-0.282,0.746,-0.473,0.067,-0.377,0.01,-0.015,-0.053,4.44,0.006,-0.039,0.008,-0.088,0.582,-0.149,-17.767,0.001,-0.037,0.0,-0.26,0.17,-0.64,-0.163,0.124,-0.621,-0.046,-2.662,-0.013,-0.074,-0.176,-3.388,-0.001,-0.154,-0.008,-0.152,-0.908
atr-miR8555,0.021,-0.26,-0.003,0.062,0.002,0.169,-0.05,-0.783,0.061,-0.314,-0.253,0.124,0.655,0.001,0.202,0.163,6.807,0.003,0.151,0.002,0.153,1.472,-0.216,4.091,0.001,-0.03,-0.006,-0.149,-0.156,0.876,0.051,-2.1,-1.292,-0.128,0.26,0.001,-0.052,-0.086,-2.809,-0.009,-0.107,0.007,-0.139,-0.457,-0.027,-15.048,-0.002,0.018,-0.001,-0.107,-0.023,-0.098,-0.078,-2.598,-0.743,-0.125,-2.316,-0.016,-0.105,-0.09,-9.616,0.001,-0.117,-0.012,-0.095,-1.333
tae-miR10518,0.172,-13.683,0.0,0.0,0.013,0.469,0.25,1.087,0.127,-0.012,0.448,0.469,-0.878,0.001,0.188,0.249,9.264,0.014,0.165,0.011,0.188,2.026,-0.1,-15.707,-0.001,0.0,0.006,0.167,0.0,-1.126,-0.232,-1.521,-0.818,0.233,-2.546,-0.022,-0.083,-0.153,-13.869,0.006,-0.135,-0.023,-0.083,-2.24,-0.125,-41.142,-0.001,0.0,-0.002,-0.179,-0.214,-3.155,-0.148,-2.987,1.755,-0.036,-6.422,-0.038,-0.179,-0.372,-26.133,-0.003,-0.316,-0.056,-0.179,-4.826
osa-miR2099-5p,0.24,-4.94,0.002,0.06,0.011,0.25,0.3,-2.114,-0.058,-0.46,0.032,0.32,-0.493,-0.002,0.06,0.078,-1.072,0.012,0.046,-0.001,0.07,0.184,0.074,-4.345,-0.004,-0.042,0.002,0.053,0.105,2.082,-0.071,1.158,0.456,0.021,-0.975,0.004,-0.126,-0.193,-2.793,0.002,-0.153,0.008,-0.158,-1.183,0.033,14.754,0.002,0.011,-0.007,0.0,-0.056,-1.797,-0.026,3.478,0.683,-0.089,2.02,-0.012,-0.078,0.015,1.62,-0.01,0.021,0.003,0.0,0.28
cas-miR11592,0.228,-29.133,-0.009,0.208,0.003,0.208,0.031,1.33,-0.356,-1.256,-0.75,0.0,-3.927,-0.001,0.031,0.078,-8.205,0.009,-0.011,0.017,0.228,-0.876,-0.46,18.603,0.003,-0.342,-0.007,-0.43,-0.154,-3.533,0.09,-0.625,-0.188,0.0,2.743,0.019,-0.154,-0.104,11.913,-0.016,-0.014,-0.007,-0.32,1.415,-0.565,11.571,-0.001,-0.384,-0.008,-0.573,-0.165,-3.7,0.192,-2.718,-0.66,0.0,1.986,0.0,-0.165,-0.14,7.535,-0.018,-0.035,-0.019,-0.4,0.801
bra-miR5722,0.21,-9.652,0.003,0.07,0.002,0.14,0.01,-0.811,-0.033,-0.393,0.043,0.07,-0.888,-0.002,0.14,0.114,0.128,0.005,0.072,0.001,0.1,0.493,-0.105,-1.763,-0.001,-0.032,-0.001,-0.021,0.0,0.006,0.047,-0.592,0.244,-0.032,-0.506,0.002,-0.032,-0.084,-4.765,-0.002,-0.065,-0.008,-0.066,-0.952,-0.133,-3.553,-0.002,-0.033,0.0,-0.144,0.0,1.274,0.124,0.156,0.56,-0.033,-0.058,0.011,-0.089,0.085,14.523,-0.001,0.06,0.026,0.042,2.195
smo-miR1110,0.116,2.367,0.0,0.075,0.002,0.161,0.155,-0.504,-0.013,-0.36,0.29,0.058,0.832,0.0,0.26,0.133,4.526,0.003,0.121,0.005,0.102,1.053,-0.099,-10.56,0.001,-0.07,-0.002,-0.164,-0.167,-3.049,0.003,-0.573,1.825,-0.032,-2.143,-0.013,-0.17,-0.228,-13.319,-0.004,-0.205,-0.025,-0.155,-2.644,-0.08,-8.113,0.002,-0.074,0.002,-0.152,-0.35,0.966,-0.047,2.152,0.611,0.043,-1.853,-0.023,-0.356,-0.177,-8.876,0.003,-0.179,-0.026,-0.105,-1.874
osa-miR5491,0.277,-3.511,0.001,0.102,0.007,0.271,0.047,-1.366,-0.085,-0.62,-0.585,0.116,0.055,0.0,0.127,0.196,2.565,0.012,0.13,0.007,0.155,1.053,-0.015,-0.83,-0.001,0.053,0.001,0.088,-0.056,-0.787,-0.148,-0.795,-1.707,-0.044,0.247,-0.002,-0.102,0.077,13.062,0.004,0.067,0.001,-0.006,2.087,-0.077,-2.013,0.002,-0.003,0.0,0.059,0.0,1.103,-0.022,-2.604,-0.44,0.012,0.286,-0.001,0.009,0.136,12.534,-0.001,0.127,0.009,0.17,2.044
ata-miR2275c-5p,0.222,6.924,-0.002,0.155,0.002,0.144,0.263,0.873,0.015,-0.044,0.064,0.172,1.63,0.001,0.285,0.21,7.744,0.003,0.166,0.01,0.155,1.694,-0.044,6.577,0.004,-0.003,-0.003,-0.219,0.222,-0.352,-0.138,-2.368,-2.109,-0.015,0.92,-0.003,0.009,-0.072,-2.159,-0.006,-0.022,0.005,-0.117,-0.182,-0.105,15.755,-0.004,-0.062,-0.003,-0.272,0.118,0.625,-0.062,-1.533,-1.481,0.012,2.63,0.007,0.053,0.182,9.979,-0.004,0.146,0.029,0.05,2.247
ath-miR2939,0.094,-0.174,0.002,0.089,0.0,0.042,0.006,-2.807,0.033,-1.407,-0.447,0.028,0.531,-0.001,0.061,0.178,6.064,0.001,0.144,-0.003,0.208,1.428,-0.19,-6.66,-0.001,-0.129,-0.003,-0.111,-0.105,-0.457,-0.063,1.164,-0.472,-0.026,-1.225,0.022,-0.047,-0.169,-4.189,-0.007,-0.123,-0.005,-0.17,-1.083,-0.09,-22.872,0.0,-0.211,-0.005,-0.053,0.065,-0.727,-0.06,-0.053,3.443,-0.028,-4.659,0.004,-0.05,-0.486,-22.357,-0.01,-0.435,-0.03,-0.359,-4.775
pab-miR11506,0.25,5.712,0.002,0.198,0.005,0.21,0.148,-0.077,0.07,-0.307,-0.391,0.087,1.516,0.001,0.16,0.293,7.61,0.009,0.221,0.02,0.338,1.997,0.053,-6.252,0.005,0.026,-0.003,0.021,-0.003,-0.6,-0.103,-1.221,0.403,0.039,-0.525,-0.023,0.011,0.064,-7.144,-0.006,0.058,-0.01,0.132,-0.743,0.0,11.196,-0.005,-0.053,-0.003,-0.022,0.053,-0.015,-0.163,-3.156,-1.253,0.042,1.605,-0.026,-0.044,-0.004,-10.653,-0.006,0.031,-0.008,-0.042,-1.23
mtr-miR1510a-3p,0.205,0.119,-0.001,0.028,0.001,0.091,0.23,0.054,0.087,-0.244,-0.397,0.163,0.798,0.003,0.319,0.274,12.339,0.002,0.198,0.02,0.26,2.589,-0.061,-3.026,-0.002,0.029,-0.002,-0.178,0.058,2.113,-0.108,0.322,-0.657,-0.05,-0.189,0.015,0.073,0.034,7.275,-0.002,-0.001,0.028,-0.026,1.216,0.046,10.83,0.0,0.031,-0.001,-0.127,0.347,1.225,0.022,1.071,0.281,-0.053,1.302,0.048,0.056,-0.03,5.062,0.0,0.004,0.026,-0.04,0.566
ppt-miR390c-3p,0.058,-6.069,0.0,0.116,0.004,0.141,0.05,-1.183,-0.12,-1.651,0.036,0.18,-0.432,-0.001,0.086,0.139,-1.874,0.006,0.083,0.001,0.158,0.25,-0.05,1.462,-0.003,-0.178,-0.006,-0.032,-0.173,0.262,0.0,1.67,0.648,-0.143,0.232,0.008,0.003,0.017,16.146,-0.007,0.006,0.015,-0.056,2.348,0.006,21.799,0.004,-0.155,-0.002,-0.034,-0.186,1.961,0.116,-1.892,-0.246,-0.229,3.155,0.011,0.003,0.11,11.978,-0.001,0.087,0.031,0.0,2.139
pab-miR950h,0.169,-9.206,-0.001,0.352,0.004,0.211,0.199,-1.373,-0.01,-0.147,-0.889,0.075,-0.893,-0.002,0.144,0.125,-0.899,0.009,0.088,-0.006,0.141,0.213,0.038,12.386,0.003,-0.018,-0.001,-0.056,0.079,-1.365,0.003,-2.664,-1.463,-0.032,2.279,0.001,0.015,0.166,3.628,0.0,0.153,0.005,0.053,1.243,0.096,2.738,0.003,-0.195,0.002,-0.176,-0.034,3.42,-0.11,-3.92,-1.729,0.025,1.223,-0.019,-0.043,0.263,1.885,0.005,0.194,0.023,0.173,1.386
bdi-miR7754-3p,0.244,-6.025,-0.002,0.064,0.013,0.468,0.047,0.235,-0.125,-0.795,-0.683,0.147,-0.558,0.0,0.224,0.116,0.157,0.019,0.076,0.006,0.158,0.413,-0.02,0.648,0.003,0.041,0.006,0.161,-0.12,-2.174,0.119,-0.336,0.355,0.02,-0.312,0.035,-0.152,-0.164,-2.893,0.007,-0.119,0.003,-0.111,-0.976,0.037,6.136,-0.001,0.074,0.004,0.17,-0.012,0.225,-0.205,2.805,-0.964,-0.003,0.369,0.033,-0.279,-0.185,-7.411,0.005,-0.122,0.007,-0.176,-1.635
osa-miR1425-3p,0.166,-7.676,-0.003,0.042,0.008,0.271,0.127,-0.008,-0.04,-0.327,-0.143,0.169,-0.813,-0.001,0.139,0.087,3.657,0.012,0.043,0.001,0.102,0.727,-0.17,2.566,0.003,-0.067,-0.001,-0.135,0.079,-0.141,0.075,0.579,0.28,0.067,0.519,0.01,-0.108,0.025,8.152,-0.002,0.004,0.015,-0.015,1.26,-0.121,14.71,0.0,-0.05,-0.006,-0.248,0.124,-0.542,0.026,-0.755,-1.074,0.13,3.317,0.011,-0.09,0.379,26.882,-0.008,0.308,0.028,0.195,4.981
bdi-miR7781-3p,0.368,-3.023,0.001,0.05,0.006,0.248,0.107,-1.166,0.229,-0.122,-0.034,0.112,-0.166,-0.001,0.05,0.122,6.912,0.012,0.067,0.003,0.066,1.388,0.136,-9.544,-0.001,-0.091,0.0,-0.019,0.004,-0.769,0.04,0.372,-0.11,0.048,-1.316,0.019,-0.091,0.023,-1.707,0.002,-0.013,-0.002,0.022,-0.157,0.193,-8.491,0.003,-0.095,-0.001,0.086,0.141,-1.359,-0.127,-0.225,-0.122,0.077,-1.227,-0.002,0.073,-0.03,-9.202,0.0,-0.019,-0.017,0.007,-1.382
bdi-miR5174c-3p,0.205,-3.628,0.003,0.05,0.009,0.347,0.174,0.158,-0.056,-1.07,0.47,0.339,0.343,0.001,0.302,0.312,7.212,0.01,0.211,0.012,0.271,2.037,-0.119,-7.014,0.004,-0.043,0.002,0.052,-0.104,-0.059,0.102,-0.823,-0.21,0.069,-0.588,-0.022,0.126,0.064,-1.076,0.0,0.045,-0.006,0.045,0.184,-0.1,-20.143,-0.002,-0.045,-0.002,-0.134,-0.255,-2.464,-0.039,-2.164,1.36,-0.05,-2.905,-0.033,-0.018,-0.08,-11.256,-0.002,-0.084,-0.027,-0.002,-1.831
gma-miR398b-5p,0.15,-19.731,-0.001,0.11,0.006,0.24,0.095,-0.576,-0.062,-0.173,-0.078,0.11,-2.738,0.0,0.21,-0.034,-3.254,0.009,-0.069,-0.002,-0.005,-0.602,-0.011,11.634,0.001,0.011,-0.001,-0.126,0.258,-0.414,0.063,2.318,-0.126,0.011,1.248,-0.008,-0.011,-0.12,2.155,-0.001,-0.046,-0.002,-0.116,-0.079,-0.067,11.666,-0.002,-0.044,-0.003,-0.333,0.122,0.787,0.032,2.792,0.192,0.028,1.896,0.004,-0.089,0.126,14.651,-0.004,0.094,0.024,0.039,2.436
ath-miR8183,0.139,6.104,0.003,0.036,0.005,0.141,-0.003,-0.532,-0.079,-0.335,-0.878,0.302,1.837,0.0,0.127,0.316,8.206,0.005,0.269,0.01,0.294,2.172,-0.132,-20.458,0.002,-0.018,-0.005,-0.24,-0.251,-4.255,0.052,-1.567,2.42,-0.038,-3.111,-0.015,-0.143,-0.132,-8.9,-0.006,-0.114,-0.02,-0.023,-1.739,-0.115,2.653,-0.004,-0.019,-0.003,-0.13,-0.133,-1.824,-0.123,-0.341,1.514,-0.053,-0.321,0.009,-0.093,-0.239,-7.949,-0.005,-0.136,-0.03,-0.142,-1.954
sly-miR9475-3p,0.18,-11.216,0.003,0.05,0.008,0.26,0.263,-1.726,0.105,-0.452,-0.191,0.285,-1.249,0.003,0.086,0.058,2.999,0.01,0.012,0.009,0.042,0.597,0.058,17.186,-0.008,-0.003,0.002,0.167,0.108,1.044,0.113,0.102,0.659,0.006,2.211,0.016,-0.02,0.017,14.003,0.001,0.023,0.018,-0.123,2.021,0.04,-3.235,-0.005,0.012,-0.001,0.18,-0.121,1.694,0.091,1.015,1.168,-0.17,0.114,0.028,0.037,0.126,21.266,-0.003,0.068,0.035,0.028,3.301
lja-miR7518,0.09,-11.223,0.0,0.1,0.004,0.163,0.028,-2.024,-0.033,-2.125,0.455,0.113,-1.618,0.0,0.113,-0.009,-2.319,0.005,-0.054,-0.001,0.063,-0.338,-0.116,5.704,0.0,-0.053,0.0,-0.079,-0.095,0.613,0.055,3.287,0.624,-0.026,0.666,-0.016,-0.216,-0.144,-2.81,0.001,-0.062,-0.005,-0.137,-0.848,0.044,-4.734,0.0,-0.083,0.003,-0.014,-0.119,-2.578,-0.045,2.511,0.362,-0.028,-0.816,0.01,-0.247,-0.024,0.523,0.006,-0.062,-0.009,-0.072,-0.026
ppe-miR8123-5p,0.127,-3.532,0.002,0.233,0.005,0.141,0.091,-1.759,-0.031,-0.9,-0.42,0.028,0.019,-0.001,0.172,0.197,1.197,0.008,0.127,0.003,0.166,0.786,-0.053,-4.809,0.001,-0.032,0.0,0.056,0.012,0.647,-0.009,-0.266,1.732,-0.026,-1.463,-0.018,-0.067,-0.231,-7.497,-0.002,-0.185,-0.026,-0.146,-1.825,-0.019,-27.815,0.002,-0.152,-0.003,0.195,0.012,-1.373,0.018,-0.198,5.646,-0.028,-5.696,-0.042,-0.158,-0.525,-17.385,-0.007,-0.498,-0.053,-0.319,-4.286
